Country Name,Country Code,Continent,Region
Afghanistan,AFG,Asia,Southern Asia
Albania,ALB,Europe,Southern Europe
Algeria,DZA,Africa,Northern Africa
Andorra,AND,Europe,Southern Europe
Angola,AGO,Africa,Central Africa
Antigua and Barbuda,ATG,America,Caribbean
Argentina,ARG,America,South America
Armenia,ARM,Asia,Western Asia
Australia,AUS,Oceania,Australia and New Zealand
Austria,AUT,Europe,Western Europe
Azerbaijan,AZE,Asia,Western Asia
Bahamas,BHS,America,Caribbean
Bahrain,BHR,Asia,Western Asia
Bangladesh,BGD,Asia,Southern Asia
Barbados,BRB,America,Caribbean
Belarus,BLR,Europe,Eastern Europe
Belgium,BEL,Europe,Western Europe
Belize,BLZ,America,Central America
Benin,BEN,Africa,Western Africa
Bhutan,BTN,Asia,Southern Asia
Bolivia,BOL,America,South America
Bosnia and Herzegovina,BIH,Europe,Southern Europe
Botswana,BWA,Africa,Southern Africa
Brazil,BRA,America,South America
Brunei Darussalam,BRN,Asia,South-Eastern Asia
Bulgaria,BGR,Europe,Eastern Europe
Burkina Faso,BFA,Africa,Western Africa
Burundi,BDI,Africa,Eastern Africa
Cabo Verde,CPV,Africa,Western Africa
Cambodia,KHM,Asia,South-Eastern Asia
Cameroon,CMR,Africa,Central Africa
Canada,CAN,America,Northern America
Central African Republic,CAF,Africa,Central Africa
Chad,TCD,Africa,Central Africa
Chile,CHL,America,South America
China,CHN,Asia,Eastern Asia
Colombia,COL,America,South America
Comoros,COM,Africa,Eastern Africa
Congo,COG,Africa,Central Africa
Costa Rica,CRI,America,Central America
C te d'Ivoire,CIV,Africa,Western Africa
Croatia,HRV,Europe,Southern Europe
Cuba,CUB,America,Caribbean
Cyprus,CYP,Asia,Western Asia
Czechia,CZE,Europe,Eastern Europe
Denmark,DNK,Europe,Northern Europe
Djibouti,DJI,Africa,Eastern Africa
Dominica,DMA,America,Caribbean
Dominican Republic,DOM,America,Caribbean
Ecuador,ECU,America,South America
Egypt,EGY,Africa,Northern Africa
El Salvador,SLV,America,Central America
Equatorial Guinea,GNQ,Africa,Central Africa
Eritrea,ERI,Africa,Eastern Africa
Estonia,EST,Europe,Northern Europe
Eswatini,SWZ,Africa,Southern Africa
Ethiopia,ETH,Africa,Eastern Africa
Fiji,FJI,Oceania,Melanesia
Finland,FIN,Europe,Northern Europe
France,FRA,Europe,Western Europe
Gabon,GAB,Africa,Central Africa
